,Name
0, A.T. Still University
1, Aalborg Universitet
2, Aalto-yliopisto
3, Aarhus Universitet
4, Aba Teachers University
5, Abasyn University
6, Abbottabad University of Science and Technology
7, Abdul Wali Khan University Mardan
8, Abdullah Gül Üniversitesi
9, Abdulrahman Al-Sumait Memorial University
10, Abertay University
11, Aberystwyth University
12, Abhilashi University
13, Abia State University
14, Abilene Christian University
15, ABM University College
16, Åbo Akademi
17, Abourihan Higher Education Institute
18, Abra State Institute of Science and Technology
19, Abraham Baldwin Agricultural College
20, Abrar University
21, Abu Ali ibn Sino nomidagi Buxoro Davlat Tibbiyot Instituti
22, Abu Dhabi Polytechnic
23, Abu Dhabi School of Management
24, Abu Dhabi University
25, Abubakar Tafawa Balewa University
26, Academia de Muzica Gheorghe Dima
27," Academia de Muzica, Teatru si Arte Plastice"
28, Academia de Studii Economice din Bucuresti
29, Academia de Studii Economice din Moldova
30, Academia Nacional Superior de Orquestra
31, Academia Rerum Civilium
32, Academic City University College
33, Académie des Beaux-Arts de Tournai
34, Académie Franco-Américaine de Management
35, Academie voor Hoger Kunst- en Cultuuronderwijs
36, Academy of Art University
37, Academy of Education of Kyrgyzstan
38," Academy of Music, Dance and Fine Arts"
39, Academy of Public Administration under the aegis of the President of the Republic of Belarus
40, Academy of Public Administration under the President of Kazakhstan
41, Academy of Public Administration under the President of the Kyrgyz Republic
42, Academy of Public Administration under the President of the Republic of Tajikistan
43, Academy of the Ministry of Internal Affairs
44, Academy of Tourism
45, Acadia University
46, Accra Institute of Technology
47, Accra Technical University
48, Ach Medical University
49, Acharya N.G. Ranga Agricultural University
50, Acharya Nagarjuna University
51," Achievers University, Owo"
52, Acibadem Üniversitesi
53, Ada Kent Üniversitesi
54, ADA Universiteti
55, Adama Science and Technology University
56, Adamas University
57, Adamawa State University
58, Adams State University
59, Adamson University
60, Adana Alparslan Türkes Bilim ve Teknoloji Üniversitesi
61, Addis Ababa Science and Technology University
62, Addis Ababa University
63, Adekunle Ajasin University
64, Adeleke University
65, Adelphi University
66, Adesh University
67, Adigrat University
68, Adikavi Nannaya University
69, Adi-Keih College of Arts and Social Sciences
70, Adiyaman Üniversitesi
71, Adler Graduate School
72, Adler University
73, Admiral Makarov National University of Shipbuilding
74, Admiral Makarov State University of Maritime and Inland Shipping
75, Admiralty University of Nigeria
76, Adrian College
77, Advanced Business College
78, Advanced Institute of Industrial Technology
79, AdventHealth University
80, Adventist International Institute of Advanced Studies
81, Adventist University of Africa
82, Adventist University of Central Africa
83, Adventist University of the Philippines
84, Adventista Teológiai Fõiskola
85, Adyghe State University
86, Aeres Hogeschool
87, Afe Babalola University
88, Afeka Tel Aviv Academic College of Engineering
89, Afghan Pamir Higher Education Institute
90, Afghan Swiss Medical Institute of Higher Education
91, Africa Christian University
92, Africa International University
93, Africa Nazarene University
94, Africa Renewal University
95, Africa Research University
96, Africa University
97, African Bible University
98," African Leadership University, Rwanda"
99, African Methodist Episcopal University
100, African Rural University
101, African University College of Communications
102, African University of Humanities and Applied Sciences
103, African University of Management
104, African University of Science and Technology
105, Afyon Kocatepe Üniversitesi
106, Aga Khan University
107, Agnes Scott College
108, Agri Ibrahim Çeçen Universitesi
109, Agricultural University of Athens
110, Agricultural University of Georgia
111, Agricultural University of Hebei
112, Agricultural University of Iceland
113, Agricultural University of Plovdiv
114, Agriculture and Forestry University
115, Agrocampus Ouest
116, AgroParisTech
117, Ahfad University for Women
118, Ahi Evran Üniversitesi
119, Ahlia University
120, Ahlobait Institute of Higher Education
121, Ahlul Bayt International University
122, Ahmadu Bello University
123, Ahmedabad University
124, Ahmet Yesevi Üniversitesi
125, Ahram Canadian University
126, Ahsanullah University of Science and Technology
127, Ahvaz Jundishapur University of Medical Sciences
128, Aichi Bunkyo University
129, Aichi Gakuin University
130, Aichi Gakusen University
131, Aichi Institute of Technology
132, Aichi Medical University
133, Aichi Mizuho College
134, Aichi Prefectural University
135, Aichi Prefectural University of Fine Arts and Music
136, Aichi Sangyo University
137, Aichi Shukutoku University
138, Aichi Toho University
139, Aichi University
140, Aichi University of Education
141, Aichi University of Technology
142, Aikoku Gakuen University
143, Ain Shams University
144, Aino University
145, Air Force Institute of Technology
146, Air University
147, Aix-Marseille Université
148, Ajayi Crowther University
149, Ajeenkya D.Y. Patil University
150, Ajloun National Private University
151, Ajman University
152, Ajou University
153, AKAD Privathochschulen
154, Akademia e Filmit dhe Multimedias Marubi
155, Akademia e Studimeve Albanologjike
156, Akademia Finansów i Biznesu Vistula
157, Akademia Górniczo-Hutnicza
158, Akademia Humanistyczno-Ekonomiczna w Lodzi
159, Akademia Ivodent
160, Akademia Leona Kozminskiego
161, Akademia Morska w Szczecinie
162, Akademia Muzyczna im. Feliksa Nowowiejskiego w Bydgoszczy
163, Akademia Muzyczna im. Grazyny i Kiejstuta Bacewiczów w Lodzi
164, Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu
165, Akademia Muzyczna im. Karola Lipinskiego we Wroclawiu
166, Akademia Muzyczna im. Karola Szymanowskiego w Katowicach
167, Akademia Muzyczna im. Stanislawa Moniuszki w Gdansku
168, Akademia Muzyczna w Krakowie
169, Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej
170, Akademia Polonijna w Czestochowie
171, Akademia Pomorska w Slupsku
172, Akademia Sztuk Pieknych im. Eugeniusza Gepperta we Wroclawiu
173, Akademia Sztuk Pieknych im. Jana Matejki w Krakowie
174, Akademia Sztuk Pieknych im. Wladyslawa Strzeminskiego w Lodzi
175, Akademia Sztuk Pieknych w Gdansku
176, Akademia Sztuk Pieknych w Katowicach
177, Akademia Sztuk Pieknych w Warszawie
178, Akademia Sztuk Teatralnych im. Stanislawa Wyspianskiego w Krakowie
179, Akademia Techniczno-Humanistyczna
180, Akadémia umení v Banskej Bystrici
181, Akademia Wychowania Fizycznego i Sportu im. Jedrzeja Sniadeckiego
182, Akademia Wychowania Fizycznego im. Bronislawa Czecha w Krakowie
183, Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu
184, Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach
185, Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie
186, Akademia Wychowania Fizycznego we Wroclawiu
187, Akademie der Bildenden Künste München
188, Akademie der Bildenden Künste Nürnberg
189, Akademie der Bildenden Künste Wien
190, Akademie múzických umení v Praze
191, Akademie STING
192, Akademie výtvarných umení v Praze
193, Akademii Sztuki w Szczecinie
194, Akaki Tsereteli State University
195, Akal University
196, AKCENT College
197, Akdeniz Karpaz Üniversitesi
198, Akdeniz Üniversitesi
199, Akita International University
200, Akita Prefectural University
201, Akita University
202, Akita University of Nursing and Welfare
203, Akkon Hochschule für Humanwissenschaften
204, Aklan State University
205, Akobo Heritage and Memorial University
206, AKS University
207, Aksaray Üniversitesi
208, Aksum University
209, Aktobe Regional State University
210, Aktobe University S. Baisheva
211, Akwa Ibom State University
212, Al Ain University
213, Al Alamein International University
214, Al al-Bayt University
215, Al Andalus University for Medical Sciences
216, Al Azhar University-Gaza
217, Al Baha University
218, Al Beroni University
219, Al Dar University College
220, Al Falah University
221, Al Fashir University
222, Al Ghurair University
223, Al Hussein Technical University
224, Al Imam Al-Ouzai University
225, Al Iraqia University
226, Al Istiqlal University
227, Al Jazeera University
228, Al Jouf University
229, Al Musanna College of Technology
230, Al Mustafa International University
231, Al Muthanna University
232, Al Nahrain University
233, Al Qasimia University
234, Al Rasheed International Private University for Science and Technology
235, Al Sharqiyah University
236, Al Wasl University
237, Al Yamamah University
238, Al Zaiem Al Azhari University
239, Alabama A&M University
240, Alabama State University
241, Alagappa University
242, Al-Ahgaff University
243, Al-Ahliyya Amman University
244, Alakh Prakash Goyal Shimla University
245, Alandalus University for Science and Technology
246, Alanus Hochschule für Kunst und Gesellschaft
247, Alanya Alaaddin Keykubat Üniversitesi
248, Alanya Hamdullah Emin Pasa Üniversitesi
249, Al-Aqsa University
250, Alaska Bible College
251, Alaska Pacific University
252, Ala-Too Uluslararasi Üniversitesi
253, Al-Azhar University
254, Al-Baath University
255, Al-Balqa' Applied University
256, Albany College of Pharmacy and Health Sciences
257, Albany Law School
258, Albany Medical College
259, Albany State University
260, Albaydaa University
261, Albert-Ludwigs-Universität Freiburg
262, Albertus Magnus College
263, Albion College
264, Alborz Institute of Higher Education
265, Albright College
266, Al-Buraimi University College
267, Alcorn State University
268, Aldersgate College
269, Alderson Broaddus University
270, Al-Eman University
271, Aletheia University
272," Alex Ekwueme Federal University, Ndufu-Alike"
273, Alexander American University School Of Medicine
274, Alexander College
275, Alexandria University
276, Alfa BK Univerzitet
277, Alfaisal University
278, Al-Falah University
279, Al-Farabi Kazakh National University
280, Alfred Nobel University
281, Alfred State College
282, Alfred University
283, Al-Furat Al-Awsat Technical University
284, Al-Furat University
285, Algoma University
286, Al-Hadra University of Humanities and Applied Sciences
287, Al-Hamd Islamic University
288, Al-Hawash Private University
289, Al-Hikma University
290, Al-Hikmah University
291, Al-Hussein Bin Talal University
292, Ali Institute of Education
